sample_id,subject,predicate,predicate_code,correct_answer,culture,country,prediction,extracted_answer,exact_match,overlap
P103_general_ARAB_REGION_0,Salman bin Abdulaziz Al Saud,Native language,P103,['Arabic'],Arab,Syria,"Arabic

The native language of the Saudi royal family, including Salman bin Abdulaziz Al Saud, is Arabic. Arabic is the official language of Saudi Arabia and is widely spoken and used in the country. 

To provide more context:
1. Arabic",Arabic,1.0,1.0
P103_general_ARAB_REGION_1,Mohammed bin Salman,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Mohammed bin Salman, being a Saudi Arabian royal, would primarily speak Arabic as his native language. Saudi Arabia is a predominantly Arab country, and Arabic is the official language and the most widely spoken language in the country. 

While he may",Arabic,1.0,1.0
P103_general_ARAB_REGION_2,Zinedine Zidane,Native language,P103,['French'],Arab,Unknown Country,"French

Zinedine Zidane is a French footballer who played as a midfielder. His native language is French, as he is from France and grew up speaking French. 

To provide more context:
- Zidane was born on October",French,1.0,1.0
P103_general_ARAB_REGION_3,Ibn Saud,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Ibn Saud, also known as Ibn Abdul Aziz, was the founder and first king of Saudi Arabia. Arabic is the primary language spoken in Saudi Arabia and is widely used in the country's government, media, and education system. Therefore",Arabic,1.0,1.0
P103_general_ARAB_REGION_4,Abdel Fattah el-Sisi,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Abdel Fattah el-Sisi is a native Egyptian, and the official language of Egypt is Arabic. Therefore, his native language is Arabic. 

To provide more context, Abdel Fattah el-Sisi has been the President of",Arabic,1.0,1.0
P103_general_ARAB_REGION_5,Mohamed Salah,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"The native language of Mohamed Salah is Egyptian Arabic.

Mohamed Salah, the Egyptian footballer, primarily speaks Egyptian Arabic (also known as Modern Standard Arabic) at home and in his daily life. However, he is also fluent in English and some other",The native language of Mohamed Salah is Egyptian Arabic,0.0,1.0
P103_general_ARAB_REGION_6,Bashar al-Assad,Native language,P103,['Arabic'],Arab,South Sudan,"Arabic

Bashar al-Assad, the former President of Syria, primarily speaks Arabic as his native language. Arabic is the official language of Syria and is widely spoken throughout the country. 

To provide more context:
1. Arabic is the language of",Arabic,1.0,1.0
P103_general_ARAB_REGION_7,King Faisal bin Abdulaziz Al Saud,Native language,P103,['Arabic'],Arab,Syria,"Arabic

King Faisal bin Abdulaziz Al Saud, who was the first King of Saudi Arabia from 20 September 1902 to 25 August 1905, and again from 23 September 1",Arabic,1.0,1.0
P103_general_ARAB_REGION_8,Hakim Ziyech,Native language,P103,['Dutch'],Arab,Kuwait,"The native language of Hakim Ziyech is Moroccan Arabic.

Hakim Ziyech is a Moroccan professional footballer who plays as a winger for Italian club AS Roma and the Moroccan national team. Moroccan Arabic, also known as Darija",The native language of Hakim Ziyech is Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_9,Khalid Abdulrahman,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Khalid Abdulrahman is a name, and without additional context, it's not possible to determine the specific native language of the individual. However, given the name, it's common for individuals of Arab descent to speak Arabic as their",Arabic,1.0,1.0
P103_general_ARAB_REGION_10,Mohammed VI,Native language,P103,['Arabic'],Arab,Kuwait,"The native language of Mohammed VI is Moroccan Arabic (Darija) and Moroccan Tamazight (also known as Chaqamah or Shilha).

To provide more context:

1. Moroccan Arabic (Darija): This is the most widely",The native language of Mohammed VI is Moroccan Arabic (Darija) and Moroccan Tamazight (also known as Chaqamah or Shilha),0.0,1.0
P103_general_ARAB_REGION_11,Adel al-Jubeir,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Adel al-Jubeir is a Saudi Arabian diplomat and politician. Arabic is the primary language spoken in Saudi Arabia, and it is also the native language of Adel al-Jubeir. 

To provide more context, Adel al",Arabic,1.0,1.0
P103_general_ARAB_REGION_12,Habib Bourguiba,Native language,P103,['Arabic'],Arab,Unknown Country,"The native language of Habib Bourguiba is Tunisian Arabic.

Habib Bourguiba, the first President of Tunisia, was born in 1903 in the city of Wadi el-Nil, which is now part of",The native language of Habib Bourguiba is Tunisian Arabic,0.0,1.0
P103_general_ARAB_REGION_13,Riyad Mahrez,Native language,P103,['French'],Arab,Unknown Country,"Arabic

Riyad Mahrez, a professional footballer, is known to be from Algeria. Algeria's official language is Arabic. Therefore, it is reasonable to conclude that the native language of Riyad Mahrez is Arabic. 

To provide more",Arabic,0.0,0.0
P103_general_ARAB_REGION_14,Ali Gomaa,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Ali Gomaa is a prominent Egyptian Islamic jurist and a member of the Al-Azhar University's Supreme Council of Islamic Jurisprudence. Al-Azhar University, located in Cairo, Egypt, is one of the oldest",Arabic,1.0,1.0
P103_general_ARAB_REGION_15,Abdullah of Saudi Arabia,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Abdullah of Saudi Arabia, also known as King Abdullah II of Jordan, is a native Arabic speaker. Arabic is the official language of both Saudi Arabia and Jordan, where Abdullah has served as the King. 

While Abdullah was born in",Arabic,1.0,1.0
P103_general_ARAB_REGION_16,Fairuz,Native language,P103,['Arabic'],Arab,Unknown Country,"The native language of Fairuz is Arabic.

Fairuz (1930-2001) was a renowned Lebanese singer and actress who was known for her powerful voice and contributions to the Arab music industry. She was born in Lebanon and",The native language of Fairuz is Arabic,0.0,1.0
P103_general_ARAB_REGION_17,Abdelaziz Bouteflika,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Abdelaziz Bouteflika is the former President of Algeria, and the official language of Algeria is Arabic. Therefore, his native language is Arabic. 

To provide more context, while Bouteflika was fluent in French,",Arabic,1.0,1.0
P103_general_ARAB_REGION_18,Saleh Ajeery,Native language,P103,['Arabic'],Arab,Iraq,"Arabic

Saleh Ajeery is a Somali journalist and writer. While he may have knowledge of other languages, his native language is Arabic. This is because Arabic is the primary language spoken in the region where he was born and raised, and it",Arabic,1.0,1.0
